league,team,point
L1,FC Bayern Monaco,1.240
L1,Borussia Dortmund,1.014
L1,Bayer 04 Leverkusen,912
L1,VfL Wolfsburg,786
L1,FC Schalke 04,764
L1,Borussia Mönchengladbach,721
L1,SV Werder Brema,677
L1,Eintracht Francoforte,657
L1,TSG 1899 Hoffenheim,646
L1,VfB Stoccarda,637
L1,FSV Magonza 05,601
L1,Hertha BSC,576
L1,Amburgo SV,513
L1,SC Friburgo,508
L1,Hannover 96,483
L1,FC Augusta,431
L1,1.FC Colonia,426
L1,RasenBallsport Lipsia,375
L1,FC Norimberga,288
L1,VfL Bochum,188
L1,Arminia Bielefeld,167
L1,FC Union Berlino,148
L1,FC Energie Cottbus,107
L1,Fortuna Düsseldorf,104
L1,FC Ingolstadt 04,72
L1,Karlsruher SC,72
L1,FC Kaiserslautern,69
L1,SV Darmstadt 98,63
L1,SC Paderborn 07,51
L1,SpVgg Greuther Fürth,39
L1,Alemannia Aachen,34
L1,FC Hansa Rostock,30
L1,MSV Duisburg,29
L1,FC St. Pauli,29
L1,Eintracht Braunschweig,25
